date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:00	223349/223349	---M-Z	200	added ('OK')	text/html	etag:%2236875-6655a0e4-d577cfff9211f0ad;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-calendar.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-calendar.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:00	261173/261173	---M-Z	200	added ('OK')	text/html	etag:%223fc35-6655a0e4-b1fd686583999b44;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-kanban.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-kanban.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:00	279717/279717	---M-Z	200	added ('OK')	text/html	etag:%22444a5-6655a0e4-c7b5db54b4bae2f1;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-chat.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-chat.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:01	242315/242315	---M-Z	200	added ('OK')	text/html	etag:%223b28b-6655a0e4-c8cbf9539eb3c7a3;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-contact.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-contact.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:01	271162/271162	---M-Z	200	added ('OK')	text/html	etag:%224233a-6655a0e4-d7ab41c739bb8520;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-contact2.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-contact2.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:02	261680/261680	---M-Z	200	added ('OK')	text/html	etag:%223fe30-6655a0e4-4dc8d2594a296ef7;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/app-invoice.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/app-invoice.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:03	239600/239600	---M-Z	200	added ('OK')	text/html	etag:%223a7f0-6655a0e4-7de07cbb589c5d80;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/blog-posts.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/blog-posts.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:06	270556/270556	---M-Z	200	added ('OK')	text/html	etag:%22420dc-6655a0e4-e18aacb805a8d2cb;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-shop.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-shop.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:07	229424/229424	---M-Z	200	added ('OK')	text/html	etag:%2238030-6655a0e4-5e696cda0c6d0132;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/blog-detail.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/blog-detail.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:09	245877/245877	---M-Z	200	added ('OK')	text/html	etag:%223c075-6655a0e4-ac23b54989acfec2;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-shop-detail.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-shop-detail.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:09	230608/230608	---M-Z	200	added ('OK')	text/html	etag:%22384d0-6655a0e4-80d514179204db7e;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-product-list.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-product-list.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:12	234068/234068	---M-Z	200	added ('OK')	text/html	etag:%2239254-6655a0e4-358b07449e468b4b;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-add-product.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-add-product.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:16	235960/235960	---M-Z	200	added ('OK')	text/html	etag:%22399b8-6655a0e4-79c784e50d51e11f;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-checkout.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-checkout.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:22	249090/249090	---M-Z	200	added ('OK')	text/html	etag:%223cd02-6655a0e4-e82fc0cb7770acf1;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-edit-product.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/eco-edit-product.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:22	225855/225855	---M-Z	200	added ('OK')	text/html	etag:%223723f-6655a0e4-d2e6eb5980ffe689;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/page-pricing.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/page-pricing.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:22	224949/224949	---M-Z	200	added ('OK')	text/html	etag:%2236eb5-6655a0e4-76c00d7fb159041a;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/page-faq.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/page-faq.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:22	267386/267386	---M-Z	200	added ('OK')	text/html	etag:%224147a-6655a0e4-b951e6cec6881b1a;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-cards.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-cards.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:23	223917/223917	---M-Z	200	added ('OK')	text/html	etag:%2236aad-6655a0e4-e1989828ac9508b0;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-banners.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-banners.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:26	316416/316416	---M-Z	200	added ('OK')	text/html	etag:%224d400-6655a0e4-d0c389929f52fbde;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-apps.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-apps.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:27	235670/235670	---M-Z	200	added ('OK')	text/html	etag:%2239896-6655a0e4-d91739623326b952;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-charts.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-charts.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:27	244339/244339	---M-Z	200	added ('OK')	text/html	etag:%223ba73-6655a0e4-a503990e3df06e23;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-feeds.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-feeds.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
15:03:28	281952/281952	---M-Z	200	added ('OK')	text/html	etag:%2244d60-6655a0e4-55b9206be500f016;gz%22	https://bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-data.html	C:/Users/peikore/OneDrive/Desktop/HefraTemplate/HefraTemplate/bootstrapdemos.wrappixel.com/materialpro/dist/main/widgets-data.html	(from https://bootstrapdemos.wrappixel.com/materialpro/dist/main/index.html)
